presents		Presenta...
play			Jugar
help			Ayuda
options			Opciones
credits			Créditos
exit			Salir
choose_game		Elige una partida para cargar o 'Nuevo Juego'
new_game		Nuevo Juego
what_name		¿Cómo te llamas?
back			Volver
continue		Continuar
delete			Borrar
delete_confirm	¿Estás seguro que deseas borrar esta partida?
yes			    Sí
no				No
help_text		Este es un juego de plataformas. Utilice las teclas de flecha derecha e izquierda para moverse, la barra espaciadora para saltar, X para accionar ítem, Z o V para cambiar de ítem, C para habilidades, Shift para cambiar de personaje, flecha hacia arriba para abrir puertas, Esc para pausar.\nEl juego también ofrece soporte para joystick (conéctalo antes de iniciar el juego), pero el mapeo de botones puede variar. Para un control de XBOX 360, utilice el mando analógico o el pad direccional como las teclas de flechas, A para saltar o confirmar, B para accionar ítem o cancelar, X para habilidades, Y para cambiar de personaje, LB y RB para cambiar de ítem, Start para pausar.\nUtilice F4 para alternar entre pantalla completa y ventana.
save			Guardar
cancel			Cancelar
language		Idioma
lang_name		Español
sound_volume	Volumen de los sonidos
music_volume	Volumen de la música
controls		Controles
controls_0		Flechas, Espacio, Shift, A, S
controls_1		WASD, JKLI
full_screen		Pulsa F4 para alternar entre ventana y pantalla completa
credits_text	- Diseño, Programación y Gráficos -\nVictor David Santos\n\n- Música -\nZergananda (soundcloud.com/zergananda)\nFrancesco Corrado (soundcloud.com/franzcorradomusic)\n\n- Agradecimientos Especiales -\n...\n...
ch_st_instruct	Pulsa 'Enter' para empezar.\nPulsa 'Esc' o 'Backspace' para volver.
stage			Etapa
loading			Cargando
lives			Vidas
score			Puntos
resume			Reanudar
change_bomb		Cambiar Bomba
save_exit		Guardar y Salir
stage_complete	¡Etapa Completa!
total			Total
spec_taken		¿El Spec ha sido encontrado?
stars			Estrellas
all_stars_found ¡Has obtenido un ítem!
dead			¡Has Muerto!
restart			Pulsa 'Enter' para reanudar
game_over		¡Fin del juego!
too_bad			¡Qué pena!
can_play		Ahora puedes jugar con:
msg1			No todas las llaves caben en todas las puertas...
msg2			Esto es solo un adelanto de lo que te espera en el próximo mundo... ¡Está atento a la próxima versión de Super Bombinhas!
msg_monep		¡Oye! ¡Espera un minuto! Si quieres seguir adelante, debes traerme una Hierba del Bosque. Sí, una deliciosa Hierba del Bosque... ¡Ahora ve!¡Y solo vuelve aquí cuando la tengas!
msg_mnt_bomb	Hola, anduve de caminata por las montañas, y he perdido mi piedra preciosa Jillis. Es una grande y brillante gema verde... ¿Crees que la podrías encontrar por mí?
msg_mnt_bomb2	¡Muchas gracias, compañero! Bueno... No tengo mucho para ofrecerte a cambio, pero puedes usar esta máquina flotante si quieres. Te va a ayudar a llegar a las partes más altas de la montaña./¡La vista es maravillosa desde allí!
msg_aldan		Hey! It's so good to see a fellow bomb here... Thanks for freeing me! Now, we must hurry and defeat Gaxlon and his minions... our citizens are suffering!
chamal_speech	Entonces... has venido. Bien, temo que este es el final de tu inútil viaje, pequeña bombita. ¡WHEELIAMS, ATRÁPALO!
chamal_death	¡Noooooo...! ¡¿Cómo he podido perder contra alguien tan débil...?! No... No es posib...
sahiss_speech	Sssssss Ssssssssssss Sssss?! ¡¡SSSSSS!! (¿Quién eres tú que invades mi sagrada fortaleza forestal? ¡¡PREPARATE PARA MORIR!!)
sahiss_death	¡¡Sssssssssssssssssssss...!! (¡¡Noooooooooooooooo...!!)
ulor_speech		¿Qué creen que están haciendo aquí, pequeñas bombitas? ¡Este es el final para ustedes!
ulor_death		¡Gaaaaaah! No lo puedo creer... ¡Derrotado por estas insignificantes criaturas...!
zirkn_speech	Fue tan tonto de su parte venir aquí ... ¡Ahora, USTEDES PAGARÁN!
zirkn_death		¡Malditas sean!
globb_speech	Grrrraaaaarrrblaaarrrgh!!! (¡¡¡Sal de mi pantano!!!)
globb_death		Ggaaaaarrrr! Bleearr...gh! (¡Aaaaah! ¡Déjame en p...az!)
drepz_speech	No creo que han llegado tan lejos. Pero, ha sido tudo en vano, porque...\n¡NUNCA SALIRÁN DE AQUÍ!
drepz_death		Jaja... Ustedes son bastante fuertes... Pero les advierto: ¡nunca derrotarán el rey Gaxlon!
count_down		¡Cuenta regresiva para la explosión!
world_1			Isla de Tars
stage_1_1		Explorando la Playa de Tars
stage_1_2		Arena y Colinas Verdes
stage_1_3		Un caos de 'mecanimales'
stage_1_4		¡Por Fin! La Fortaleza de Chamal
stage_1_5		Chamal: ¡la derrota!
world_2			Bosque de los Sabios
stage_2_1		El Bosque Fronterizo
stage_2_2		Encima del árbol más alto
stage_2_3		El enigma de los tres árboles
stage_2_4		Entrando en la fortaleza forestal
stage_2_5		En las profundidades de la fortaleza forestal
world_3			Montañas Lluviosas
stage_3_1		En la base de las montañas
stage_3_2		Colinas desconcertantes
stage_3_3		Conoce a la tribu de la montaña
stage_3_4		Las cavernas de hielo
stage_3_5		El escondite de Ulor
world_4			Pueblo de Inkut
stage_4_1		Un pueblo en ruinas
stage_4_2		¡Cuidado con las paredes que se caen!
stage_4_3		El antiguo templo
stage_4_4		Las piezas ocultas del rompecabezas
stage_4_5		El antiguo castillo
world_5			Pantano Mual
stage_5_1		Bienvenido al pantano
stage_5_2		Espinas, veneno y aguas peligrosas
stage_5_3		¡El descenso loco!
stage_5_4		Cae la noche en Mual
stage_5_5		Un nido de criaturas viciosas
world_6			Cuevas Ooria
stage_6_1		Camino rocoso por delante
stage_6_2		¡Plataformas móviles fuera de control!
stage_6_3		El laberinto subterráneo profundo
stage_6_4		Aventurándose en la oscuridad
stage_6_5		Drepz en el pozo oscuro
world_7			Ciudad de las Bombas
stage_7_1		???
bonus			Bonus
bonus_1			Alcanza la meta
bonus_2			Mata todos los enemigos
bonus_3			Recoge todas las Rocas de Fuego
movie_0_0		En una tierra lejana, hay una bella aldea, habitada por... bombas vivientes./Esta aldea solía ser un lugar tranquilo, donde el pueblo amaba a su rey, y tenía una vida próspera.
movie_0_1		Pero la envidia de Gaxlon, uno de los consejeros del rey, acaba de trastornar esta tranquilidad.../Gaxlon quería regir el reino por sí solo, pero como no estaba preparado para esta tarea, aprisionó a Aldan, el rey, para así poder extraerle por la fuerza consejos sobre cómo gobernar./Cuando sus secuaces capturaron al rey, las 4 súper bombas llegaron y presenciaron la terrible escena ...
movie_0_2		Gaxlon fue rápido y ordenó a sus secuaces que también atacaran las súper bombas, pero Aldan los protegió con una magia ancestral./Viendo que las súper bombas no podían ser derrotadas, ordenó a sus secuaces que encarcelacen a cada uno de ellos en un lugar distante.../Y luego comenzó su reinado de terror.
movie_0_3		Mientras las superbombas eran llevadas a lugares lejanos, Bomba Azul, el más inteligente de ellos, pudo engañar a su captor y escapar .../Vio que llevaban a Bomba Vermelha en dirección a la Isla Tars, por lo que se dirigió hacia allí, para empezar a rescatar a sus amigos ...
game_end		¡Fin!
game_end_sub	Pero... ¿has recogido todos los Specs?
game_end_2		¡Fin!
game_end_2_sub	Ahora sí, de verdad.
